Category: All categories

Week,Kanye West: (United States)
2020-01-05,5
2020-01-12,6
2020-01-19,6
2020-01-26,6
2020-02-02,6
2020-02-09,5
2020-02-16,6
2020-02-23,5
2020-03-01,5
2020-03-08,4
2020-03-15,5
2020-03-22,7
2020-03-29,5
2020-04-05,5
2020-04-12,5
2020-04-19,10
2020-04-26,9
2020-05-03,6
2020-05-10,5
2020-05-17,5
2020-05-24,6
2020-05-31,9
2020-06-07,8
2020-06-14,5
2020-06-21,6
2020-06-28,9
2020-07-05,95
2020-07-12,19
2020-07-19,100
2020-07-26,23
2020-08-02,15
2020-08-09,12
2020-08-16,9
2020-08-23,7
2020-08-30,8
2020-09-06,7
2020-09-13,13
2020-09-20,8
2020-09-27,7
2020-10-04,9
2020-10-11,10
2020-10-18,11
2020-10-25,15
2020-11-01,38
2020-11-08,9
2020-11-15,6
2020-11-22,6
2020-11-29,4
2020-12-06,5
2020-12-13,5
2020-12-20,5
2020-12-27,5
