Category: All categories

Week,How to wash your hands: (United States)
2020-01-05,2
2020-01-12,10
2020-01-19,7
2020-01-26,10
2020-02-02,6
2020-02-09,16
2020-02-16,5
2020-02-23,12
2020-03-01,61
2020-03-08,100
2020-03-15,70
2020-03-22,47
2020-03-29,40
2020-04-05,35
2020-04-12,23
2020-04-19,18
2020-04-26,21
2020-05-03,18
2020-05-10,15
2020-05-17,13
2020-05-24,12
2020-05-31,7
2020-06-07,6
2020-06-14,11
2020-06-21,11
2020-06-28,5
2020-07-05,8
2020-07-12,14
2020-07-19,6
2020-07-26,3
2020-08-02,14
2020-08-09,11
2020-08-16,16
2020-08-23,16
2020-08-30,17
2020-09-06,10
2020-09-13,17
2020-09-20,13
2020-09-27,10
2020-10-04,6
2020-10-11,8
2020-10-18,10
2020-10-25,7
2020-11-01,7
2020-11-08,8
2020-11-15,7
2020-11-22,9
2020-11-29,15
2020-12-06,11
2020-12-13,10
2020-12-20,2
2020-12-27,8
