Category: All categories

Week,WAP: (United States)
2020-01-05,1
2020-01-12,1
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,2
2020-02-23,2
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,3
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,34
2020-08-09,100
2020-08-16,91
2020-08-23,68
2020-08-30,54
2020-09-06,46
2020-09-13,42
2020-09-20,30
2020-09-27,27
2020-10-04,20
2020-10-11,20
2020-10-18,19
2020-10-25,14
2020-11-01,10
2020-11-08,11
2020-11-15,13
2020-11-22,11
2020-11-29,11
2020-12-06,9
2020-12-13,10
2020-12-20,9
2020-12-27,9
