Category: All categories

Week,Asymptomatic: (United States)
2020-01-05,3
2020-01-12,3
2020-01-19,2
2020-01-26,5
2020-02-02,3
2020-02-09,3
2020-02-16,4
2020-02-23,4
2020-03-01,8
2020-03-08,20
2020-03-15,57
2020-03-22,47
2020-03-29,65
2020-04-05,41
2020-04-12,34
2020-04-19,32
2020-04-26,28
2020-05-03,32
2020-05-10,28
2020-05-17,27
2020-05-24,32
2020-05-31,18
2020-06-07,100
2020-06-14,40
2020-06-21,52
2020-06-28,54
2020-07-05,63
2020-07-12,49
2020-07-19,42
2020-07-26,34
2020-08-02,29
2020-08-09,24
2020-08-16,22
2020-08-23,22
2020-08-30,21
2020-09-06,15
2020-09-13,16
2020-09-20,17
2020-09-27,19
2020-10-04,19
2020-10-11,16
2020-10-18,15
2020-10-25,19
2020-11-01,16
2020-11-08,27
2020-11-15,33
2020-11-22,30
2020-11-29,26
2020-12-06,26
2020-12-13,23
2020-12-20,25
2020-12-27,38
