Category: All categories

Week,Tiger King: (United States)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,<1
2020-03-01,<1
2020-03-08,<1
2020-03-15,2
2020-03-22,65
2020-03-29,100
2020-04-05,50
2020-04-12,33
2020-04-19,13
2020-04-26,8
2020-05-03,8
2020-05-10,5
2020-05-17,4
2020-05-24,3
2020-05-31,3
2020-06-07,2
2020-06-14,2
2020-06-21,2
2020-06-28,1
2020-07-05,2
2020-07-12,2
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,1
2020-10-11,2
2020-10-18,2
2020-10-25,3
2020-11-01,2
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
