Category: All categories

Week,Cobra Kai: (United States)
2020-01-05,2
2020-01-12,2
2020-01-19,2
2020-01-26,1
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,2
2020-03-01,2
2020-03-08,2
2020-03-15,2
2020-03-22,2
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,2
2020-04-26,2
2020-05-03,2
2020-05-10,1
2020-05-17,1
2020-05-24,2
2020-05-31,2
2020-06-07,2
2020-06-14,2
2020-06-21,3
2020-06-28,2
2020-07-05,2
2020-07-12,2
2020-07-19,2
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,20
2020-08-30,100
2020-09-06,77
2020-09-13,51
2020-09-20,36
2020-09-27,27
2020-10-04,21
2020-10-11,16
2020-10-18,14
2020-10-25,14
2020-11-01,8
2020-11-08,8
2020-11-15,9
2020-11-22,9
2020-11-29,7
2020-12-06,12
2020-12-13,11
2020-12-20,13
2020-12-27,79
