Category: All categories,
,
Week,Toilet paper: (United States)
1/5/20,2
1/12/20,3
1/19/20,3
1/26/20,2
2/2/20,3
2/9/20,3
2/16/20,3
2/23/20,3
3/1/20,8
3/8/20,90
3/15/20,100
3/22/20,52
3/29/20,38
4/5/20,30
4/12/20,19
4/19/20,14
4/26/20,10
5/3/20,8
5/10/20,7
5/17/20,6
5/24/20,5
5/31/20,4
6/7/20,4
6/14/20,3
6/21/20,3
6/28/20,3
7/5/20,3
7/12/20,3
7/19/20,3
7/26/20,3
8/2/20,3
8/9/20,3
8/16/20,3
8/23/20,3
8/30/20,3
9/6/20,3
9/13/20,3
9/20/20,3
9/27/20,3
10/4/20,4
10/11/20,3
10/18/20,3
10/25/20,3
11/1/20,3
11/8/20,4
11/15/20,8
11/22/20,5
11/29/20,4
12/6/20,4
12/13/20,4
12/20/20,3
12/27/20,3
