Category: All categories

Week,Murder hornet: (United States)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,<1
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,3
2020-05-03,100
2020-05-10,9
2020-05-17,4
2020-05-24,4
2020-05-31,3
2020-06-07,2
2020-06-14,2
2020-06-21,2
2020-06-28,2
2020-07-05,2
2020-07-12,2
2020-07-19,2
2020-07-26,4
2020-08-02,4
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,2
2020-10-25,4
2020-11-01,1
2020-11-08,1
2020-11-15,<1
2020-11-22,<1
2020-11-29,<1
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,<1
